local,sexo,qtd_pessoas,qtd_pes_pobres,qtd_pes_vulneraveis,qtd_pes_pob_vul,qtd_0a11,qtd_0a11_pobres,qtd_0a11_vulneraveis,qtd_0a11_pob_vul,incidencia,intensidade,IPM,qtd_pes_E1,qtd_pes_E2,qtd_pes_E3,qtd_pes_S1,qtd_pes_S2,qtd_pes_S3,qtd_pes_S4,qtd_pes_T1,qtd_pes_T2,qtd_pes_T3,qtd_pes_P1,qtd_pes_P2,qtd_pes_P3,qtd_pes_P4,contr_E1,contr_E2,contr_E3,contr_S1,contr_S2,contr_S3,contr_S4,contr_T1,contr_T2,contr_T3,contr_P1,contr_P2,contr_P3,contr_P4
16,1,335134,999999995,176944,85410229,62264,8308181672,239209,684920457,89345,5917315435,54128,6756285073,15893,4305768162,70022,1062053236,52,7980825942656,45,1393933218813,23,8327341686373,33039,9714122932,65708,7822607406,127098,177302486,858,241436331587,93249,9426831638,171127,544948158,36822,385675141,14022,6031569114,42269
16,2,334390,999999994,167930,135314029,64048,3497340523,231978,485048081,86137,779862159,50992,9762817199,15954,1925075002,66947,1687892201,50,2196935067128,44,8934776838576,22,5453668973378,31230,4002809003,60647,5235185529,119715,975819847,882,993054893959,87003,4869992686,163203,72267364,31017,3453382363,12781,7355435506,41501
17,1,702424,6,261233,37062294,141004,791258892,402237,828321186,158427,445607006,66961,4771306321,30709,2397698988,97670,7169005309,37,1902208726199,42,3928298649477,15,765987060928,36561,1948373765,80006,674797653,217162,758607645,507,303040597488,131425,370564498,208675,862043477,146469,31231104,23945,6140769405,39494
17,2,681020,999999998,231934,424534026,135294,765769785,367229,190303811,152317,237590058,63583,1545251566,30258,6737023602,93841,8282275167,34,568682219823,42,1606775816267,14,3586064054695,32227,86282134,68722,9278793293,190875,654412994,572,104224833931,105900,94985919,189069,8675022,119452,573548437,20746,8366966155,38652
21,1,3261515,16,1897095,23734593,567087,200617738,2464182,43796367,816893,707375053,534703,897901523,128010,266035569,662714,163937092,58,1660742736377,45,2368520445521,26,3125009592898,244191,18051727,641456,262710655,1547899,44743088,5970,38995425897,1019591,79928485,1469577,5456627,1352267,75554466,172900,63699863,241349
21,2,3313274,13,1804177,61676493,600287,69322945,2404464,68608788,787262,359892144,512376,34558616,125907,145951985,638283,180510601,54,453015861799,44,8082398060254,24,399437928968,222265,770061895,577041,837119453,1454147,12346524,6461,26262268343,937657,377101176,1421389,61375736,1244145,93067605,149319,740512597,244788
22,1,1528421,99999995,759560,17895658,316015,34046296,1075575,35835862,326766,632254793,186905,417217988,61041,5316476909,247946,948865679,49,6957003952889,43,812489581457,21,4095284087886,81166,568763779,284648,237992384,674703,60279234,1401,88823477055,393000,627273236,493301,763126355,520977,175971458,69244,9484044073,104884
22,2,1589937,99999995,724422,620867137,335132,397127105,1059555,1799424,313445,593233918,174603,298607084,59161,4107495229,233764,709356607,45,5629477921252,42,769324200798,19,4869648566543,72335,983151383,260522,950976693,639024,876594725,1331,58787886866,358960,457828948,483902,919383229,478883,896208858,60371,7630456687,106519
23,1,4120088,1,1630925,19886002,768615,980203308,2399541,17906333,852769,364477804,389006,11566617,158757,504097694,547763,619763864,39,5847175803045,42,7721004024888,16,9312151474894,238296,47516282,490944,502993178,1402543,32079604,2284,65569889267,825685,80957769,1268285,61400439,936865,432078386,159827,26108115,240103
23,2,4332293,11,1565410,54368396,808854,579759269,2374265,12344323,818157,245626568,370937,637479495,152455,240317184,523392,877796679,36,1335335279475,42,4540223904972,15,3401384144326,224976,28291834,449546,776543343,1340842,619397,2589,76997655354,763042,889650341,1226935,67162671,863606,287819622,140176,416888239,240271
