local,raca,qtd_pessoas,qtd_pes_pobres,qtd_pes_vulneraveis,qtd_pes_pob_vul,qtd_0a11,qtd_0a11_pobres,qtd_0a11_vulneraveis,qtd_0a11_pob_vul,incidencia,intensidade,IPM,qtd_pes_E1,qtd_pes_E2,qtd_pes_E3,qtd_pes_S1,qtd_pes_S2,qtd_pes_S3,qtd_pes_S4,qtd_pes_T1,qtd_pes_T2,qtd_pes_T3,qtd_pes_P1,qtd_pes_P2,qtd_pes_P3,qtd_pes_P4,contr_E1,contr_E2,contr_E3,contr_S1,contr_S2,contr_S3,contr_S4,contr_T1,contr_T2,contr_T3,contr_P1,contr_P2,contr_P3,contr_P4
33,4,6332407,8059518,909246,329618458,824938,13987721,1734184,34360618,1162768,43867151,239319,169409294,186979,607964155,426298,777373449,14,3586193037641,40,6083258629523,5,83079491629329,162813,734056808,412728,306375684,762755,995048006,2213,78886410912,471952,743617972,613726,93579829,178657,572918141,57608,4102390844,268569
33,5,15257,6025893769,1919,71591010822,1480,96315199454,3400,67906210275,1405,58378918546,505,161655425615,83,4443008786143,588,605956304229,12,5820285255353,42,4467469563527,5,34066181021009,289,567900581495,730,737108407875,1415,85117054109,0,1257,6982826924,1604,40915075524,395,633440228396,275,881743212444,451,611717415208
35,1,26264149,7647624,1213034,3194098,1620098,95060044,2833133,27001024,4317911,88812348,294372,14831921,376932,257632982,671304,405952192,4,61859352110945,39,4491035839739,1,82199374226517,272699,69574448,286479,118482935,1068640,40373748,2231,51368156111,577636,755679857,838360,438354514,309353,142666643,127517,456226759,331919
35,2,2244326,397782,185273,427674738,241489,529508806,426762,957183544,261492,543028617,33119,4985392381,37315,6936162293,70435,1921554674,8,25519217756118,39,9665483235373,3,29931537084586,49897,1979668333,59484,7925303989,160915,775046156,500,39037146738,52482,7922291297,110996,333977125,23285,946191233,20056,4366593967,64611
35,3,570150,49944695,15897,603255513,23913,1461003829,39810,2064259343,55105,4916597492,2362,45677087706,3847,57721255073,6210,3398342779,2,78822176617781,38,636036790027,1,77258387368,3335,2887090526,2778,35193265096,14071,4248990176,18,5161807932042,9136,3668300993,11822,5681864673,6568,77133610742,1270,55355810947,3724
35,4,12122835,6595465,1179584,73495466,1431623,3591386,2611208,9409325,2230131,35787931,291998,159158434,331633,84017009,623631,243175443,9,73027077229869,40,411570401302,3,89611300036601,304599,91393976,350821,885693018,1030504,44663023,3157,7678486223,394528,487922309,760907,705383446,188568,668328865,116438,869310125,378291
35,5,44799,8905639028,6330,55995307565,4722,6343344684,11052,6233865225,5369,3079907942,1715,34039435148,741,864890424157,2457,20528477563,14,1307486991418,42,7530991794701,6,4133300614578,1760,7407712473,2350,86809072774,4702,69178446838,84,4742447828337,3509,23724317165,4150,79428954889,1267,54605633699,769,900988912562,1457
41,1,7317309,17848207,1134685,88524692,809110,18318415,1943796,6843107,1301698,47867385,242532,799060779,160808,76568857,403341,56474935,15,5068736002529,41,4611403719753,6,42932663070564,164479,710813152,210243,651262574,991258,813915623,1781,7923799088,612247,664944104,1031859,10753581,564951,352130834,148622,116680829,130990
41,2,328949,14272889,67559,4056685761,49555,1750778449,117114,580746421,34870,4910332824,10349,2613262952,5631,89631291773,15981,1576392129,20,5379565638492,42,3071914796523,8,6890326094755,13501,2962605723,20379,2441742215,57997,2821637927,69,7354078537566,24983,5236851593,57663,264683741,23607,1649806072,7825,72452462675,11125
41,3,124279,193029483,12937,6293095448,8879,244645334,21816,6537740782,14868,8989877786,2068,8165166436,1499,42855428011,3567,51020594447,10,4101330191897,41,9360678417816,4,36560044534712,2018,46008809229,2410,64353913333,10924,8273054985,15,2941972081648,7887,88309100375,12119,1406092003,7268,1185807583,1674,76774712593,1501
41,4,2647894,73157508,650396,838173521,425225,361542478,1075622,199716,480964,838911369,143724,68367229,81229,8145561818,224953,882923411,24,5627905980476,42,2868011559074,10,3868184185383,123602,364927928,175111,39900802,568485,76254686,1174,49302786142,263295,792651475,576381,7365812,241599,50690156,83077,2643501155,92196
41,5,25787,2427146243,14021,8775807228,2900,17291989633,16922,505006191,6033,4517776466,4772,31656496752,535,461282611314,5307,77784757883,54,3752495600113,47,3393386279891,25,7408835190279,3406,27902403844,5246,56329944173,11154,8144391747,45,5516993040132,7268,4805100404,12213,5911682569,9549,768961925,2084,29777231485,914
42,1,5239538,19114862,752123,791013671,645730,941555124,1397854,7325688,860350,116306569,145724,628527751,114191,889544175,259916,518071926,14,3547725691601,40,357304982676,5,79319934530546,111040,595321,124220,36967128,677748,716368097,1319,4820753577,492293,553075667,717396,248421558,304566,988735789,116276,658067035,70037
42,2,178469,222351799,36789,2775116757,25464,4335791106,62253,7110907863,25828,5499678049,6774,70770107091,4311,92616091978,11086,6338619907,20,6137938109892,42,2461573248519,8,70853576401108,8420,6624782056,10699,6995058227,32101,3416598927,30,3123657706426,16777,1915567699,33155,9982603037,11859,210085299,5252,46933758417,5220
42,3,25725,5232529617,4599,3102758762,3754,54007655378,8353,85035242998,3941,17076924441,969,31107798785,665,486652687178,1634,51776048596,17,8783934952487,42,4195235349283,7,58392933638413,1013,56041154459,906,911689170369,4080,924699405,0,2441,88859061629,4397,11599039707,1790,53467969524,639,40441922778,654,159788157917
42,4,787902,496914995,204390,943525353,132104,816124588,336495,75964994,153135,581026912,47593,3044987997,26668,743789596,74261,3788777592,25,9411468202777,42,28751522774,10,9698664118753,43771,8284010743,57516,6705556696,182491,140427148,482,586389965189,95579,1896580501,185359,673209145,65121,4080862357,28319,1291341191,28479
