local,sxraca,qtd_pessoas,qtd_pes_pobres,qtd_pes_vulneraveis,qtd_pes_pob_vul,qtd_0a11,qtd_0a11_pobres,qtd_0a11_vulneraveis,qtd_0a11_pob_vul,incidencia,intensidade,IPM,qtd_pes_E1,qtd_pes_E2,qtd_pes_E3,qtd_pes_S1,qtd_pes_S2,qtd_pes_S3,qtd_pes_S4,qtd_pes_T1,qtd_pes_T2,qtd_pes_T3,qtd_pes_P1,qtd_pes_P2,qtd_pes_P3,qtd_pes_P4,contr_E1,contr_E2,contr_E3,contr_S1,contr_S2,contr_S3,contr_S4,contr_T1,contr_T2,contr_T3,contr_P1,contr_P2,contr_P3,contr_P4
11,4,474037,708131414,258088,205085656,89107,4379926254,347195,643078282,97839,8219084651,59625,9434023168,17114,9423832871,76740,8857856039,54,4446571778016,43,9768649201179,23,9430533433031,32337,147513572,57833,8459071631,205275,99792161,686,191013533918,211354,195355891,250093,389861759,111058,205580161,23822,3452845724,30436
12,1,83257,679736274,40090,8889815837,13204,1837213692,53295,727029529,23472,4199020732,13164,3206317228,3500,17825001802,16664,4988817408,48,1531357725484,45,8608174307579,22,834216838334,7332,1110619103,10588,8368201727,30443,451169968,53,8695630596854,28608,1385492566,31302,3589401841,18483,667531404,4347,43246375417,5127
12,2,88000,853760791,40001,6387085112,14813,1368535344,54814,7755620455,24267,204426255,13998,9934898827,3603,78749732174,17602,7809872045,45,4563635223299,45,5268590564526,20,6948545529998,7583,17776522634,10190,3716506024,30497,8211020802,103,304502405574,27220,5633052208,31626,189399755,17420,2107418392,3752,60774140814,4930
12,3,270326,293917145,159224,638646529,43893,5577360318,203118,196382561,70733,474857033,47651,7502517606,10694,9871565391,58346,7374082997,58,9009068778678,46,8275930490851,27,5818769749885,31919,295537894,45843,6472869033,121585,178781774,421,217783932311,112502,428975693,126347,70631711,76825,2580385917,15003,7020449126,19730
12,4,261727,859177416,147449,9912352,44449,3375511822,191898,347463534,67182,2982786287,45047,9593732719,9663,10061176471,54711,599850366,56,3367653622236,46,2119272016716,26,343049969673,29188,3339080547,40769,417516436,111435,940481734,385,400835967917,100926,97283686,118588,407748097,64276,5647946241,12170,1257433946,19896
13,1,356330,494750594,131254,329443922,53559,194600112,184813,348903933,95063,3635039631,42634,1116688659,15133,969570351,57767,208625901,36,8349976714146,46,2848909873609,17,490385174112,29725,4056930626,47966,8429616966,98502,381185961,531,836933399122,70467,7576911185,112051,672487637,49921,2640513991,14650,1935336063,27097
13,2,382783,54522646,131011,709261128,57737,1596073366,188748,868868464,97069,1972440737,43755,5920853052,14893,529923421,58648,6450776474,34,2260556638137,45,8974527645852,15,7088877314795,28630,7143080381,48191,741955712,97469,6845803941,491,892387370849,66847,291199445,112544,757085466,46377,893372484,13383,278518969,28726
13,3,1296295,84237868,674656,7695592,197884,375665923,872540,452621842,340487,97392974,206917,10810861,50490,8123508164,257407,920459426,52,449155894797,48,1807704595988,25,756413160592,150848,409208873,268793,275962367,517970,700532673,2459,9442322912,381946,129059907,571665,36329994,318923,11478254,76346,67968271,112548
13,4,1249561,60058556,618917,518613625,194939,594626506,813857,113240131,322274,629097397,197837,347589689,46358,9262069448,244196,273796634,49,5307728985586,47,7603002846643,23,6560458696667,137421,412349994,241215,411102144,472833,75679982,2467,52527200607,337982,472038875,524038,244794554,275132,859447867,65177,7367246409,109206
14,1,45466,261643313,11199,9205694996,6894,52423991306,18094,4448094127,10835,335397652,3155,46697854154,1638,68911157858,4794,15609012011,24,6336034053622,43,5699883100934,10,7328581240711,1471,35918248028,3508,9318897546,8421,11634513793,5,5942491198611,4810,16724249914,10247,2140787252,4913,8210528755,1445,4223777668,1847
14,2,48679,9227349444,10448,9208092179,6865,43763883265,17314,3584480505,12142,2563908319,3320,52257927653,1844,39309529089,5164,91567456743,21,4645386068315,43,2661101060673,9,28687090739102,1595,63900136163,3106,95712729588,7917,17874191595,1,1644331036036,3852,7758271155,9656,99577487594,4008,88655738222,1221,20713382332,2248
14,3,155705,936256024,59352,6290662511,27782,9996220106,87135,6286882617,38785,8541608446,17067,1040154951,7260,18038559005,24327,2844010851,38,1184112137246,44,6004729937958,17,9916990413,11242,689131288,20975,655749381,44918,79528573,103,249236853997,23624,1666988084,53277,987889044,26508,955344215,6289,5732728572,9550
14,4,145903,991370714,52135,6369259368,26131,578649205,78266,6947908573,35832,2746709823,15496,1809972282,6652,96904009232,22149,1500373205,35,732838036946,44,790488004813,15,7506951161024,9046,53280912346,18531,3322309259,38652,8597451958,87,803460630046,18330,802968473,46740,1419395678,21032,926832588,5234,89830718981,9302
15,1,795261,109611796,416021,53074214,130372,629153844,546394,159895983,198498,275180734,117323,81967239,30886,6981696095,148209,780136848,52,3125707662505,45,961236053731,24,435041356515,58928,7763786455,144311,133395942,324984,215737942,957,845074674175,284165,803138151,388180,793868063,188538,675752921,38522,5218054997,65905
15,2,842282,827309049,414108,352900624,143516,698707352,557625,51607976,205431,92089123,123634,807612111,32170,9040006336,155805,711612745,49,1650001014065,45,7293750107995,22,4828472704321,57956,967524968,143784,72454965,322746,55748884,1051,91302705214,274922,678997816,387812,665982152,174674,539466651,36695,7680606863,69273
15,3,2975368,66273573,1910801,55675706,456342,6362747,2367143,62038453,734384,280113276,524744,31963395,101134,6132924,625878,645255795,64,2206655157869,47,9309959920682,30,7816046144513,302261,592322006,749104,364773505,1538284,8203997,5296,82909338307,1309842,27938074,1763797,9922368,991657,214605358,186800,746560709,279757
15,4,2859291,4380061,1753434,1792823,457295,289750032,2210729,30767826,691369,360412134,491353,938964816,94601,5849922394,585955,523957056,61,3240831754412,47,4533941140476,29,1003588760685,268107,551367504,672414,764194882,1392037,5444568,5175,89522348308,1171264,59024133,1622991,58629899,845597,501434785,152507,645615352,279791
16,1,75528,6895241498,32659,8390014658,14435,1573727306,47094,9963741964,21127,4090727529,10810,3033354679,3976,74440155437,14787,477370222,43,2416333544659,44,2120555382319,19,1180149543151,5967,58195712438,11415,4011316469,23205,5792630197,93,3002312157127,16229,9095968131,31580,3245323388,4939,93153554968,2676,22290572016,8661
16,2,83632,5461522351,34553,5007476294,16607,8382848462,51161,3390324756,22589,2373173093,11639,1133563221,4298,77505696474,15937,8884132868,41,3158540991113,43,9370730447718,18,1529769945979,6269,841704927,12174,5470088797,24269,1685914398,65,1567814798118,17125,1624013238,33753,1690214282,4570,40081895064,2617,11687355918,9602
16,3,252581,650992865,139425,79746338,46653,858542944,186078,938289282,66121,704007671,41740,4006196189,11648,412500781,53388,8131203999,55,2000033249748,45,1283441873573,24,9108474919273,25924,8469691736,51807,5385349699,100187,314544593,762,786005440861,73097,1049913654,134862,1841252,28978,2412160414,10345,5313949029,32927
16,4,243384,946221707,128437,16728637,46284,316419729,174721,333148366,61569,3705579755,37732,4491505005,11458,7484788653,49191,1976293658,52,7711424730599,44,9294281370841,23,7097725345517,23885,8722178828,46117,8198760745,91843,1589187791,811,579154963687,66020,9566814707,124694,5285854,23601,4891415349,9129,49465477527,31419
17,1,168596,109406473,46629,1021926133,29533,7166443693,76162,8188369826,37801,85572219,12058,2573238893,6659,92658398085,18718,1839078702,27,6572824585138,41,2753618934425,11,4156434246432,5917,15937480071,12014,7922264302,38680,7501673191,97,2530635278681,23086,8766047078,39569,7709155819,24544,5870303534,4611,82902566071,7588
17,2,169792,381265326,42450,350436496,29673,6105423215,72123,6455859712,39753,6014589615,12756,9628718761,7328,93297402297,20085,895845899,25,11424112812,41,19082227247,10,298176136718,5215,36062576649,10607,6762932006,34698,4566729927,117,602181348644,19390,2908742708,36610,3962979833,20413,1096961262,4117,26787955743,7941
17,3,514900,966834447,205391,11278815,108474,976917756,313865,988196571,115460,553814423,51863,951696701,23308,2328727827,75172,1845694837,39,8894203950588,42,4620204112174,16,9378538300662,28538,4998678833,64219,2056616304,170943,313552342,382,632770254219,102794,275075494,163257,16696752,114975,360893185,18440,822896824,31075
17,4,490264,247494815,180093,952424401,102039,765249345,282133,717673746,107803,407368631,47718,8779816801,22244,7004695531,69963,5784512332,36,7340578768812,42,1919533776958,15,4988165731495,24840,6377622326,54411,1670775258,148654,483062631,425,539266786539,81014,9582404052,146636,959585409,92208,868721748,15763,8137958068,29787
21,1,687710,821914319,323214,739598899,125204,485531982,448419,225130881,167255,352101666,90025,6931143106,29678,6872604775,119704,380374788,46,9986408966483,44,1688887613439,20,758777416984,39058,659515955,97869,5816951546,263197,277462952,749,2760313334,168765,156499682,259274,571048697,220114,471144769,30527,282729831,44000
21,2,749945,262533179,326654,7733817,137987,542700079,464642,316081779,174533,95711913,96592,3398139086,30322,4061935018,126914,74600741,43,5571487282044,43,8225794339222,19,87866100569,37795,7359399873,94093,5383314706,263278,101394271,975,354505771465,166230,492579551,266554,547091657,214671,606038811,27671,6292668379,47198
21,3,2522549,35124589,1540477,82501262,434014,398654,1974491,82541127,635995,365681411,434132,76317543,96812,5161155598,530945,27929099,61,682928463529,45,4364471920016,27,74726263019,198768,368144691,530350,457341233,1258360,88971388,5082,84342922413,833328,175243458,1190995,86449691,1105661,61580123,138053,898293134,193840
21,4,2505862,9530184,1443149,207203,453643,716334378,1896792,73705467,599850,39641613,405547,157250727,94176,130220085,499723,287470812,57,590899733043,45,9103550281,25,9211476963839,178178,811044226,469890,164379403,1164569,36338454,5361,4709312484,754401,781353365,1134106,92848619,1003134,60464463,117686,617947274,193412
22,1,361065,574839556,148811,507822585,74172,3177285949,222983,82555118,79536,9382880991,38320,2002826389,15993,4475101771,54313,6477928159,41,2145377993212,42,5307879866563,17,5288676911096,15040,5190451896,51601,125497057,131742,777653046,339,677714562485,77797,9756652618,102824,29310944,99560,360460059,14184,1774967272,21142
22,2,394419,198020462,148054,271268981,80596,139902836,228650,411171817,81250,4928539332,39603,3405457808,15593,9570613082,55197,2976070891,37,5372882486568,42,3095658497511,15,8818636897763,13350,7872813482,50138,5356037777,131001,554549839,351,799983060171,74572,682872709,103952,212585986,95190,1043552437,12862,2857892937,22639
22,3,1136637,7133798,595047,684063856,235346,932192683,830394,616256539,240709,854639956,144785,416752793,43683,7240484108,188469,140801204,52,3515696390608,43,215854887256,22,6241783664173,64357,1987819668,227726,602193046,528935,304664762,1053,42999786128,306426,95768146,380790,221074966,410115,29926717,53190,9339726588,81585
22,4,1156711,9556703,559570,180369633,246241,281996778,805811,462366411,225516,816523995,131211,635876397,42382,6594866646,173594,295363061,48,3759312442973,42,8986002186038,20,7525973465178,57487,3537555134,204601,90784991,493130,582591678,949,726853990407,276151,908067141,369020,819843672,372716,748392168,45932,2704047073,81084
23,1,1259482,9296405,400903,182657986,218972,156866413,619875,339524399,279393,325190338,104536,474073025,50254,2883311732,154790,762404198,31,8307754097483,42,336435254578,13,3796346671227,53367,2618693926,110147,84569823,345747,76294808,380,135166683883,198325,837099932,320776,527282748,228284,23650641,38745,2887365963,61235
23,2,1415357,84151685,401219,92908295,241676,479699656,642896,408782607,278881,808227851,106031,477883802,51794,5061234326,157825,984007234,28,3475964391423,41,7858196370293,11,8452755194929,53403,2546693101,105536,615865979,345648,671335839,586,214623872974,192132,7968412,322239,808556292,220426,444379905,35935,2405722835,62699
23,3,2806682,7742726,1208694,3868263,539263,942181225,1747957,98086385,562850,295045143,279474,215658735,106632,329546539,386106,545205275,43,648718073041,43,127412791119,18,5233818926569,181533,781424253,374032,655976993,1038362,13850663,1837,3999282548,616414,79582292,930974,724381724,695940,246955815,118977,503087275,176180
23,4,2846830,16490618,1139240,54619714,554462,926217696,1693703,47241484,528805,977262909,259762,366079284,99010,7669039338,358773,132983218,40,178612774636,42,6887742015574,17,831344410289,167852,953800657,336225,37291876,973662,976647231,1942,9050636326,559292,942058464,884791,622992323,629694,672187524,101951,791344606,173666
24,1,614693,88844344,158152,769743767,105736,893954548,263889,663698315,134208,634274954,41550,2279642427,24830,4154872152,66380,6434514579,25,7287037852693,41,7172526975231,10,733308373898,23231,7879859262,56983,960193557,138268,386118982,268,834747580758,60813,4593434749,142177,767814052,68797,9273297677,12515,212809414,34085
24,2,679236,855482835,158237,80655501,112068,754488896,270305,835144397,133255,627750165,43203,6456326704,23968,2901531615,67171,9357858319,23,2963036940947,41,4144788390451,9,64804276367055,22499,5835417728,54831,2878915574,137339,92101302,336,383978352178,56232,5020634381,142023,15665267,64570,7777093082,11295,9907357297,36553
24,3,918282,854995442,328793,247757041,181544,909142712,510338,156899753,174304,361094491,75638,4558596158,33634,6424867405,109273,98346356,35,8052255869106,42,5891584655807,15,249144264168,48428,329780002,132728,583487341,290048,404657457,713,54900069256,127859,400348481,294401,303082639,149063,18041022,24831,1858981218,68291
24,4,918810,241710128,304574,860079391,178532,746830726,483107,606910117,161057,490104333,68233,8788701605,31392,1699493117,99626,488194722,33,1488316360627,42,3594891094866,14,416757268,44175,6106360365,119539,926452917,267803,975034424,897,993908373432,112237,92701913,272330,415491103,130049,116257843,20722,1996764432,66714
25,1,704754,37587209,226461,190901135,109405,333894494,335866,524795629,159506,333579679,61141,1154767614,25927,8783883973,87068,9938651587,32,1333655180531,42,7836754371828,13,7478348102874,29287,2366814671,78171,22270855,203952,21478319,244,978205322728,134856,479553263,178793,628573561,132150,475443632,23584,8788206483,33201
25,2,789494,20829792,227148,509288379,118914,654256455,346063,163544833,158607,426021196,61204,1653711897,25410,1358293141,86614,3012005038,28,7714033666317,42,533569247699,12,2375047744811,28341,8530839156,76991,3261434399,204501,938114819,270,745840433718,131532,228702504,179646,407540687,129734,695806221,21371,4368487704,34964
25,3,1089678,90907322,447128,342846191,193107,234535552,640235,577381743,211592,414268037,102205,776672049,37008,6221438596,139214,398815909,41,330363488889,43,4680353888329,17,8362547612477,65576,8916538315,176393,686015798,402890,15407316,837,140249202724,256486,315328005,344046,170206156,253780,811968604,48080,801986218,68718
25,4,1115998,31663193,422554,7464111,197850,52739773,620404,799150872,199097,33050492,93456,2998170109,35255,67532868,128711,975145691,37,8633856443767,43,24603775529,16,2905716494936,58454,603950092,157908,69214355,379022,652930868,962,430506296252,235445,621378731,325006,470095678,231774,12817048,38656,3938922605,68652
26,1,1497955,87972364,410834,53012768,226968,306217124,637802,836344804,333642,88101537,114062,77214907,53270,235743369,167332,100789244,27,4263438388769,42,5131961643805,11,6598153569392,57751,5490075503,138135,83597477,355389,635311737,331,20061611064,240571,609437397,311112,174400141,219469,940003524,41442,8897145795,78542
26,2,1711102,53662373,424839,102689259,252238,577693856,677077,680383115,336000,514872999,117170,79604886,55045,8145020772,172216,610550937,24,8283836646944,42,2722230188237,10,4955097147088,58706,178071546,138700,97193489,368204,820518957,471,2506954963,241382,201422697,322271,550671722,216071,60758175,39661,9030476605,87495
26,3,2671042,17094134,992753,247204891,481502,485443094,1474255,73264799,546993,154941662,245363,897021528,100451,9764707,345814,994668597,37,167262202192,43,3201244135573,16,1009042271026,163639,727469327,370834,673500106,857194,38591564,1574,54846229557,555024,53769641,731837,749697457,517549,73576436,98686,1751850973,203836
26,4,2778747,88820383,958092,595128536,501364,342799726,1459456,93792826,513935,279918334,228082,897097023,92975,6689313802,321058,566028403,34,4792918852326,42,9406616448382,14,8056360659739,148827,47854373,343455,195014977,823938,503827251,1672,26093286682,516126,419784153,711950,580706559,475101,357821187,85796,828678983,208548
27,1,456813,353453291,172210,689573606,81362,5027106598,253573,192284265,115639,873032722,52423,6254353663,20683,3105487957,73106,935984162,37,698260848063,43,1747540446407,16,2761314002583,28592,4361336083,66813,7045471665,150192,955932492,567,392025066035,97735,2009432416,142062,254045259,76416,5447181997,18390,9708171515,32377
27,2,511474,162216428,177128,479167978,90732,9810179456,267861,460185923,118617,557996893,53528,1514893549,21006,265369462,74534,1780263012,34,6309730290984,42,8291299596853,14,8321444449361,27654,7145358903,66559,3260788196,153327,710646865,527,754798706269,97011,2966131023,146956,98839549,75228,1302730171,17446,124423531,35090
27,3,1033376,54688692,487842,418669269,198596,26150857,686438,444820127,237193,948721551,131971,569521609,41730,3743489389,173701,943870547,47,2085824028917,43,7562054864557,20,6566843234521,87151,3055808541,208790,446231792,424249,84571187,1296,13283339794,268992,920341469,386243,10577123,214936,52376566,53142,4628366621,88497
27,4,1069867,27673605,479821,260883606,208763,739344084,688585,22769,222275,698188072,122417,245474259,40146,945192751,162563,339993534,44,8486715424595,43,3421375703455,19,4383729184052,82866,3265110842,196679,80060477,414960,265681893,1423,43787919977,257504,873769368,385274,204651808,199576,626070044,46959,9718657142,91444
28,1,271788,494203362,79614,4711478287,41459,1407015185,121073,611849347,65422,5135174548,23013,4189607238,10163,7735200666,33177,1924807905,29,292804090617,43,4429176345885,12,7256487539481,9810,66640699746,35376,6968527041,70511,7513753216,237,607576295429,35223,8608489866,65996,9885964267,37707,7440064116,9152,57058463242,14613
28,2,302067,811095086,79037,2739649026,44431,7572656438,123469,31230546,65628,4625992865,24089,4642372308,10298,5114671489,34387,9757043796,26,1654075879085,43,2115008611444,11,306465325171,9416,47164375372,35184,689969036,69488,2467818435,248,780952468187,34183,5264701529,65930,1168016246,35812,3431407811,8100,88586099841,14148
28,3,719299,304831732,274527,52756466,124929,332648323,399456,860212983,151101,954963768,68698,7049902013,26791,2666380581,95489,9716282593,38,1659659227505,43,8786723814235,16,7467191484494,36538,8876623991,132632,76262063,242070,140565744,749,358676071783,118734,312694388,228454,304061995,125906,618702127,27582,9519691829,49985
28,4,742678,461359593,259784,96812824,127984,19289115,387768,116101939,142743,555610741,64714,1469017873,24333,5139346054,89047,6608363926,34,9793497898468,43,4412724587874,15,1954746465196,33016,825043899,121397,39533855,227072,911411652,744,319175418565,109192,687825755,216016,800440358,113792,209452509,22458,158759618,51202
29,1,1481155,73416895,473670,968004747,237987,711136036,711658,679140783,319037,138171922,120083,567618968,52127,3971676338,172210,964786601,31,9798220455538,42,4720412467306,13,5824832098187,56261,3447861863,166767,41434921,419391,16377439,840,949509505266,244014,561401432,349330,130120001,298964,93461735,53367,2623941539,78665
