local,sxraca,qtd_pessoas,qtd_pes_pobres,qtd_pes_vulneraveis,qtd_pes_pob_vul,qtd_0a11,qtd_0a11_pobres,qtd_0a11_vulneraveis,qtd_0a11_pob_vul,incidencia,intensidade,IPM,qtd_pes_E1,qtd_pes_E2,qtd_pes_E3,qtd_pes_S1,qtd_pes_S2,qtd_pes_S3,qtd_pes_S4,qtd_pes_T1,qtd_pes_T2,qtd_pes_T3,qtd_pes_P1,qtd_pes_P2,qtd_pes_P3,qtd_pes_P4,contr_E1,contr_E2,contr_E3,contr_S1,contr_S2,contr_S3,contr_S4,contr_T1,contr_T2,contr_T3,contr_P1,contr_P2,contr_P3,contr_P4
41,1,3536972,68737696,586822,245961375,399445,654517227,986267,900478602,660444,458340108,123458,282560783,80437,9150616093,203896,197622392,16,5910878547543,41,5794050453762,6,89847562056249,85880,9327346607,111282,583065778,512860,918202082,902,874491092832,321834,956076831,534898,798334505,297342,766778399,79149,148764871,64579
41,2,3780336,49110505,547863,639285574,409664,528666941,957528,167952515,641254,20333763,119074,516499998,80370,850626961,199445,367126959,14,4924569697611,41,3344658926172,5,99037968316811,78598,7780784904,98961,681967912,478397,895713551,878,204746898047,290412,708867261,496960,309201321,267608,585352428,69472,9679159566,66411
41,3,1521353,66806126,377897,7841977,242302,55687302,620199,63529279,266257,23096192,80668,4077825437,44535,2937538388,125203,701536382,24,8395285299666,42,409455584622,10,5343088193457,73009,8190888476,104916,668127618,330575,12663596,634,413264788048,156337,328179076,334285,372053874,144203,846399757,49053,4477334489,52113
41,4,1455490,7778683,340059,165422316,232477,979747306,572537,145169622,249578,306848471,73404,9219109796,42326,417115261,115731,339026241,23,3638944443647,42,15455007526,9,84894458308059,64093,8420996507,90573,9750546219,295907,918074685,609,81517092713,131941,98815756,299758,899995656,121002,369271009,41849,5411412939,51209
42,1,2575163,98729389,390874,933931615,323000,685760106,713875,619691721,439864,90301041,75265,8477662692,57971,145119824,133236,992886093,15,178642442199,40,4440961164457,6,1388647384946,58234,7885692648,66185,2509837669,352129,884251181,632,485933386594,257877,753229345,372424,559401829,160059,7709749,61836,846016092,35029
42,2,2664374,20385494,361248,857082117,322730,255795052,683979,112877169,420485,213296192,70458,7807614821,56220,7444243505,126679,525185833,13,5584880141628,40,2633960940629,5,45910773350841,52805,2120260567,58035,1186875102,325618,83211697,686,996141971106,234415,799846334,344971,689019787,144507,217760886,54440,5734654249,35007
42,3,503816,7238755,129313,474533311,81317,6929623733,210631,167495684,92554,7304138845,28426,1847598915,15920,9929038938,44347,1776637853,25,666768966817,42,3719826379173,10,875518890334,28457,2793746798,36999,8986317508,115368,965742773,256,272019907377,61564,2068027413,117207,560633253,42344,8255043195,18096,2888221589,17229
42,4,462554,995391275,111866,746503719,76251,5567413244,188118,303245043,86409,4005808321,25941,827439979,15059,76359857,41000,8350759646,24,1845288924166,42,1762730395972,10,2001329390059,23735,2115045998,31216,4714297415,99223,5163442689,256,626735828455,50792,1744120785,101308,110836197,34635,7926672151,15475,3096495444,16470
43,1,4301131,36007232,667838,946569499,523349,941062685,1191188,88763218,706659,786051753,133435,125096434,93069,4570047313,226504,582101165,15,527053016076,40,5810264413921,6,30103749002276,94886,3888103364,162012,417295237,581504,465607092,1083,95986127548,350110,64881704,599027,579270337,283423,133258157,91331,3941253965,72587
43,2,4598225,54051513,618169,278335301,521941,754816839,1140111,3315214,683927,61976239,126796,484826332,88819,7527204526,215616,237546784,13,4436484876305,40,4007546334114,5,43133543926591,87497,9653082299,147484,105127874,537446,893572209,1126,68402351598,311197,156600227,551134,2454581,250291,765689919,81283,1833160065,74701
